Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Atlantis University,"1011 Sunnybrook Road, Miami, Florida 33136",www.atlantisuniversity.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,City: Large,No,850,443,73%,3%,Fall 2016,"$16,108",-,485768,04233900
Atlantis University-Florida Palms University,"1444 Biscayne Boulevard, Miami, Florida 33132-0000",https://www.palms.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Master's degree,City: Large,No,111,107,NA,NA,Fall 2016,NA,-,497790,04233901
Augusta School of Massage,"608 Ponder Place Dr, Evans, Georgia 30809",www.augustamassage.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,41,41,88%,NA,2019-20,"$9,584",Massage Therapy/Therapeutic Massage,447917,04021300
Auguste Escoffier School of Culinary Arts-Austin,"6020-B Dillard Circle, Austin, Texas 78752",www.escoffier.edu/,"2-year, Private for-profit",Less than one year certificate;Associate's degree,City: Large,No,437,437,54%,5%,Fall 2019,"$16,238",Culinary Arts/Chef Training,444556,03727600
Auguste Escoffier School of Culinary Arts-Boulder,"637 S Broadway, Ste H, Boulder, Colorado 80305",www.escoffier.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,8894,8894,46%,2%,Fall 2019,"$11,756",Culinary Arts/Chef Training,454810,03776300
Austin Career Institute,"7215 Cameron Rd, Austin, Texas 78752",https://www.austincareerinstitute.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,76,76,95%,4%,2019-20,"$21,937","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",495129,04282500
Austin Kade Academy,"1646 South Woodruff Avenue, Idaho Falls, Idaho 83404-5540",www.austinkade.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,79,79,91%,NA,2019-20,"$14,608","Cosmetology/Cosmetologist, General",476869,04203500
Austin's Beauty College Inc,"585A South Riverside Drive, Clarksville, Tennessee 37040-1121",www.austinbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,59,59,55%,NA,2019-20,"$6,081","Cosmetology/Cosmetologist, General",219851,04142000
Automeca Technical College-Aguadilla,"Parque Industrial La Montana Km09 Edif932, Aguadilla, Puerto Rico 00605",www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,275,275,71%,NA,2019-20,"$1,993",-,418782,02297702
Automeca Technical College-Bayamon,"Carr.No.2 Km14.0 Hato Tejas, Bayamon, Puerto Rico 00961",www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,452,452,70%,NA,2019-20,"$1,939",-,419703,02297700
Automeca Technical College-Caguas,"Calle Munoz Rivera No.69, Caguas, Puerto Rico 00725",www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,129,129,77%,NA,2019-20,"$2,248",-,419712,02297701
Automeca Technical College-Ponce,"Calle Villa No.452, Ponce, Puerto Rico 00731",www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,249,249,71%,NA,2019-20,"$2,338",-,419721,02297705
Automotive Training Center-Exton,"114 Pickering Way, Exton, Pennsylvania 19341-1310",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,348,348,72%,NA,Fall 2019,"$12,910",Automobile/Automotive Mechanics Technology/Technician,211006,01162100
Automotive Training Center-Warminster,"900 Johnsville Blvd, Warminster, Pennsylvania 18974",www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,273,273,63%,NA,Fall 2019,"$12,857",Automobile/Automotive Mechanics Technology/Technician,448770,01162101
Avalon Institute-Aurora,"2231 S Peoria Street, Aurora, Colorado 80014",avalon.edu/aurora-co/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,188,188,74%,NA,2019-20,"$18,818",Aesthetician/Esthetician and Skin Care Specialist,372356,03027400
Avalon Institute-Las Vegas,"2650 South Decatur Boulevard Suites 1, 6, 8-10, Las Vegas, Nevada 89102-0046",https://avalon.edu/las-vegas-nv/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,379,379,NA,NA,2019-20,"$13,758",Aesthetician/Esthetician and Skin Care Specialist,497301,01085803
Avalon Institute-Layton,"1992 W Antelope Drive, Layton, Utah 84041",avalon.edu/layton-ut/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,184,184,56%,NA,2019-20,"$26,605",Master Aesthetician/Esthetician,474924,01085802
Avalon Institute-Mesa,"2111 S Alma School Rd Ste 21, Mesa, Arizona 85210",avalon.edu/mesa-az/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,383,383,65%,NA,2019-20,"$18,191",Aesthetician/Esthetician and Skin Care Specialist,104568,01085800
Avalon Institute-Phoenix,"410 E Bell Road, Suite G100, Phoenix, Arizona 85022",avalon.edu/phoenix-az/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,451,451,65%,NA,2019-20,"$17,617",Aesthetician/Esthetician and Skin Care Specialist,474915,01085801
Avalon School of Cosmetology,"1428 N McMillan St, Worthington, Minnesota 56187",www.avaloncosmetologyschool.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Town: Remote,No,26,26,60%,NA,Fall 2019,"$5,916","Cosmetology/Cosmetologist, General",457679,04160500
Aveda Arts & Sciences Institute Lafayette-Arlington,"671 North Glebe Road, Suite 1280, Arlington, Virginia 22203-2137",https://avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,185,185,NA,NA,2019-20,"$22,103","Cosmetology/Cosmetologist, General",497897,02117801
Aveda Arts & Sciences Institute Minneapolis,"400 Central Ave SE, Minneapolis, Minnesota 55414",avedaarts.edu/locations/minneapolis,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,508,508,66%,NA,2019-20,"$18,245","Cosmetology/Cosmetologist, General",173744,02123200
Aveda Arts & Sciences Institute Seattle,"802 East Pike Street, Seattle, Washington 98122",avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,137,137,50%,NA,2019-20,"$41,156","Cosmetology/Cosmetologist, General",458131,04149400
Aveda Arts & Sciences Institute-Baton Rouge,"2834 S Sherwood Forest Blvd Ste A, Baton Rouge, Louisiana 70816-2246",avedaarts.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,183,183,73%,NA,2019-20,"$21,508","Cosmetology/Cosmetologist, General",159513,02258400
Aveda Arts & Sciences Institute-Covington,"1355 Polders Lane, Covington, Louisiana 70433",avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Small,No,2499,2499,75%,NA,2019-20,"$22,650","Cosmetology/Cosmetologist, General",160320,02600900
Aveda Arts & Sciences Institute-Lafayette,"2922 Johnston St, Lafayette, Louisiana 70503-3246",avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,170,170,87%,NA,2019-20,"$25,350","Cosmetology/Cosmetologist, General",159522,02117800
Aveda Arts & Sciences Institute-New York,"233 Spring St, New York, New York 10013",avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,126,126,45%,3%,2019-20,"$33,793","Cosmetology/Cosmetologist, General",448071,03839300
Aveda Arts & Sciences Institute-San Antonio,"21003 Encino Commons Ste 121, San Antonio, Texas 78259-2792",https://avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,225,225,72%,NA,2019-20,"$16,216","Cosmetology/Cosmetologist, General",455354,04142300
Aveda Fredric's Institute-Cincinnati,"7664 Voice of America Centre Drive, West Chester, Ohio 45069",https://www.avedafi.edu/cincinnati/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,432,432,79%,NA,2019-20,"$24,217","Cosmetology/Cosmetologist, General",451468,03837300
Aveda Fredric's Institute-Indianapolis,"2208 East 116th Street, Carmel, Indiana 46032",https://avedafi.edu/indianapolis/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,237,237,83%,NA,2019-20,"$22,041","Cosmetology/Cosmetologist, General",457563,04155900
Aveda Institute Portland-Vancouver Campus,"6615 North East 4th Plain Boulevard, Vancouver, Washington 98661-7264",avedapdx.com/about-our-school/locations/vancouver,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,113,113,67%,NA,2019-20,"$16,379","Cosmetology/Cosmetologist, General",487348,04171401
Aveda Institute-Boise,"10222 W Fairview Ave, Boise, Idaho 83704-4406",www.avedaidaho.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,94,94,100%,NA,2019-20,"$14,711",Aesthetician/Esthetician and Skin Care Specialist,461652,04176700
Aveda Institute-Chapel Hill,"201 S. Estes Drive, Space 200 B, Chapel Hill, North Carolina 27514-7001",https://avedafi.edu/chapel-hill/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,208,208,70%,NA,2019-20,"$21,573","Cosmetology/Cosmetologist, General",455141,04140700
Aveda Institute-Chicago,"2828 N Clark St, Chicago, Illinois 60657",www.douglasj.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,93,93,58%,NA,2019-20,"$26,025","Cosmetology/Cosmetologist, General",455877,04141000
Aveda Institute-Columbus,"889 Bethel Road, Columbus, Ohio 43214",https://avedafi.edu/columbus/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,251,251,63%,NA,2019-20,"$20,743","Cosmetology/Cosmetologist, General",455275,04137800
Aveda Institute-Denver,"801 Kalamath, Denver, Colorado 80204",avedainspiregreatness.com/denver-campus/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,341,341,78%,NA,2019-20,"$21,919","Cosmetology/Cosmetologist, General",459277,04167100
Aveda Institute-Des Moines,"6905 Mills Civic Pkwy Suite 120, West Des Moines, Iowa 50266",avedainstitutedesmoines.com/,"2-year, Private for-profit",Less than one year certificate;Two but less than 4 years certificate,City: Small,No,180,180,100%,NA,Fall 2019,"$14,697","Cosmetology/Cosmetologist, General",475015,04203300
Aveda Institute-Madison,"353 East Campus Mall, Madison, Wisconsin 53715-0000",www.ibw.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,88,88,87%,NA,2019-20,"$12,048","Cosmetology/Cosmetologist, General",487506,03808301
Aveda Institute-Maryland,"227 Archer St, Bel Air, Maryland 21014-3639",https://avedainstitutemd.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Midsize,No,94,94,75%,1%,2019-20,"$14,837","Cosmetology/Cosmetologist, General",162830,02269700
Aveda Institute-New Mexico,"1816 Central Ave SW, Albuquerque, New Mexico 87104-1160",www.avedanm.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,145,145,77%,NA,2019-20,"$19,503","Cosmetology/Cosmetologist, General",461555,04174500
Aveda Institute-Phoenix,"8475 S Emerald Drive, Tempe, Arizona 85284",avedainspiregreatness.com/phoenix-campus/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,209,209,81%,NA,2019-20,"$20,106","Cosmetology/Cosmetologist, General",484899,04194501
Aveda Institute-Portland,"325 Northwest 13th Avenue, Portland, Oregon 97209-3144",avedapdx.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,219,219,62%,NA,Fall 2019,NA,"Cosmetology/Cosmetologist, General",460862,04171400
Aveda Institute-Provo,"210 N. University Avenue, Provo, Utah 84601",avedainstituteprovo.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,173,173,89%,NA,2019-20,"$10,804","Cosmetology/Cosmetologist, General",451574,04072300
Aveda Institute-South Florida,"4186 S. University Drive, Davie, Florida 33328",https://www.beaveda.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,995,995,72%,5%,2019-20,"$27,296","Cosmetology/Cosmetologist, General",451149,04119400
Aveda Institute-Tallahassee,"2020 W. Pensacola St., Tallahassee, Florida 32304",www.beaveda.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,773,773,60%,7%,2019-20,"$23,720",Aesthetician/Esthetician and Skin Care Specialist,451158,04134800
Aveda Institute-Tucson,"145 S 6th Avenue, Tucson, Arizona 85701",www.avedainstitutetucson.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,229,229,80%,1%,2019-20,"$15,170","Cosmetology/Cosmetologist, General",476753,04194500
Aveda Institute-Twin Falls,"837 Pole Line Road Suite 103, Twin Falls, Idaho 83301",www.avedaidaho.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,87,87,83%,NA,2019-20,"$18,547",Aesthetician/Esthetician and Skin Care Specialist,142407,00987300
"Avenue Academy, A Cosmetology Institute","1512 Eubank Boulevard, Albuquerque, New Mexico 87112-3449",www.theavenueacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,97,97,70%,NA,2019-20,"$14,748",Aesthetician/Esthetician and Skin Care Specialist,491826,04271600
Avenue Five Institute,"8620 Burnet Rd Ste 300, Austin, Texas 78757",www.avenuefive.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,270,270,80%,NA,2019-20,"$24,776",Aesthetician/Esthetician and Skin Care Specialist,458070,04160700
Avenue Five Institute-South Austin Campus,"500 E Ben White Boulevard Bld E Ste 100, Austin, Texas 78704-3259",www.avenuefive.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,84,84,83%,NA,2019-20,"$22,809",Aesthetician/Esthetician and Skin Care Specialist,494524,04160701
Avery James College,"2948 Ryan Street, Lake Charles, Louisiana 70601",averyjamesschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,64,64,14%,3%,2019-20,"$17,493","Cosmetology/Cosmetologist, General",158778,00989800
Avi Career Training,"10130-a Colvin Run Rd, Great Falls, Virginia 22066",www.avicareertraining.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,17,17,96%,4%,2019-20,"$16,810",Aesthetician/Esthetician and Skin Care Specialist,448257,04038400
Aviation Institute of Maintenance-Atlanta,"2025 Satellite Pointe, Duluth, Georgia 30096",https://aviationmaintenance.edu/campuses/atlanta-ga/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,Suburb: Large,No,728,728,52%,NA,Fall 2019,"$22,811",-,440059,03523300
Aviation Institute of Maintenance-Charlotte,"7421 E. Independence Boulevard, Charlotte, North Carolina 28227-9403",https://aviationmaintenance.edu/campuses/charlotte-nc,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,169,169,70%,NA,Fall 2019,"$25,249",-,494764,03176301
Aviation Institute of Maintenance-Chicago,"3711 South Ashland Avenue, Chicago, Illinois 60609-2130",https://aviationmaintenance.edu/campuses/chicago-il,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,150,150,NA,NA,Fall 2019,"$16,433",-,497745,04156401
Aviation Institute of Maintenance-Dallas,"400 E. Airport Freeway, Irving, Texas 75061",https://aviationmaintenance.edu/campuses/dallas-tx,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,406,406,46%,NA,Fall 2019,"$23,120",-,441788,03573300
Aviation Institute of Maintenance-Fremont,"420 Whitney Place, Fremont, California 94539",https://aviationmaintenance.edu/campuses/fremont-ca,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,240,240,38%,NA,Fall 2019,"$24,295",-,486558,04240200
Aviation Institute of Maintenance-Houston,"7651 Airport Blvd., Houston, Texas 77061",https://aviationmaintenance.edu/campuses/houston-tx,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,250,250,33%,NA,Fall 2019,"$19,937",-,227748,04146700
Aviation Institute of Maintenance-Indianapolis,"7251 W. McCarty St., Indianapolis, Indiana 46241",https://aviationmaintenance.edu/campuses/indianapolis-in,"2-year, Private for-profit",One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,City: Large,No,156,156,33%,NA,Fall 2019,"$22,191",-,438735,03176300
Aviation Institute of Maintenance-Kansas City,"4100 Raytown Road, Kansas City, Missouri 64129",https://aviationmaintenance.edu/campuses/kansas-city-mo,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,185,185,48%,NA,Fall 2019,"$24,347",-,441496,03616300
Aviation Institute of Maintenance-Las Vegas,"5870 S. Eastern Ave., Las Vegas, Nevada 89119",https://aviationmaintenance.edu/campuses/las-vegas-nv,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,294,294,65%,NA,Fall 2019,"$24,125",-,482255,03523301
Aviation Institute of Maintenance-Manassas,"10640 Davidson Place, Manassas, Virginia 20109",https://aviationmaintenance.edu/campuses/nova,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,188,188,46%,NA,Fall 2019,"$21,649",-,445762,03883400
Aviation Institute of Maintenance-Norfolk,"2329 E. Little Creek Road, Norfolk, Virginia 23518",https://aviationmaintenance.edu/campuses/norfolk-va,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,232,232,48%,NA,Fall 2019,"$21,639",-,427973,03126300
Aviation Institute of Maintenance-Orlando,"2725 South US Highway 17/92, Casselberry, Florida 32707",https://aviationmaintenance.edu/campuses/orlando-fl,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,244,244,45%,NA,Fall 2019,"$22,395",-,457411,04156400
Aviation Institute of Maintenance-Philadelphia,"3001 Grant Avenue, Philadelphia, Pennsylvania 19114-1018",https://aviationmaintenance.edu/campuses/philadelphia-pa,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,288,288,29%,NA,Fall 2019,"$20,545",-,250285,03110700
Aviation Institute of Maintenance-Teterboro,"80 Moonachie Ave., Teterboro, New Jersey 07608-1083",aviationmaintenance.edu/campuses/teterboro-nj,"2-year, Private for-profit",Two but less than 4 years certificate,Suburb: Large,No,368,368,89%,NA,Fall 2019,"$19,849",-,187000,00545200
Aviator College of Aeronautical Science & Technology - Kissimmee,"606 Dyer Boulevard, Kissimmee, Florida 34741-4620",www.aviatoramt.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,,,NA,NA,2019-20,NA,-,44784701,03986301
Aviator College of Aeronautical Science and Technology,"3800 St Lucie Blvd, Fort Pierce, Florida 34946",www.aviator.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,Rural: Fringe,Yes,241,241,64%,NA,Fall 2016,"$33,827",-,447847,03986300
Award Beauty School,"26 E Antietam St, Hagerstown, Maryland 21740-5610",www.awardbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,147,147,52%,NA,2019-20,"$20,070","Cosmetology/Cosmetologist, General",161800,00826300
Ayers Career College,"8820 Jewella Ave, Shreveport, Louisiana 71118",www.ayers.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,128,128,73%,NA,2019-20,"$16,158",Medical/Clinical Assistant,158246,00462100
Baldwin Beauty School-North Austin,"8440 Burnet Rd., Ste 140, Austin, Texas 78757-7068",baldwinbeautyschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,105,105,51%,2%,2019-20,"$16,835","Cosmetology/Cosmetologist, General",414489,01226801
Baldwin Beauty School-South Austin,"3005 S Lamar, Austin, Texas 78704-4785",baldwinbeautyschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,44,44,37%,4%,2019-20,"$15,819","Cosmetology/Cosmetologist, General",223056,01226800
Baltimore Studio of Hair Design,"318 N Howard St, Baltimore, Maryland 21201-3444",www.baltimorestudio.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,43,43,71%,NA,2019-20,"$15,855","Cosmetology/Cosmetologist, General",161855,02494700
Bancroft School of Massage Therapy,"333 Shrewsbury St, Worcester, Massachusetts 01604",https://www.bancroftsmt.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Midsize,No,26,26,NA,NA,2019-20,NA,Massage Therapy/Therapeutic Massage,164599,02337400
Baptist Health System School of Health Professions,"8400 Datapoint Dr, San Antonio, Texas 78229",www.bshp.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree,City: Large,No,467,467,NA,NA,Fall 2016,NA,-,223083,00660600
Barber & Beauty Institute of New York,"266 Greenwich Street, Hempstead, New York 11550-6317",www.bbiny.edu/#,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,28,28,91%,NA,2019-20,"$13,343",Barbering/Barber,476610,04189000
Barber and Beauty Academy of Pennsylvania,"3849-C Union Deposit Road, Harrisburg, Pennsylvania 17109",www.barberandbeautyacademyofpa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,63,63,75%,NA,2019-20,NA,Aesthetician/Esthetician and Skin Care Specialist,483346,04226300
Barber Education Academy,"1505 Calle Del Norte Suite 230, Laredo, Texas 78041-6039",https://thebarbereducation.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,40,40,NA,NA,2019-20,"$1,328",Barbering/Barber,497356,04304700
Barber Institute of Texas,"2430 South High Street Ste B4, Longview, Texas 75602-3456",www.bit.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,63,63,89%,NA,2019-20,"$14,356",Barbering/Barber,484048,04229000
Barber School of Pittsburgh,"1201 Banksville Road, Pittsburgh, Pennsylvania 15216",bsp.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,104,104,43%,NA,2019-20,"$18,685",Barbering/Barber,483054,04224600
Barber Tech Academy,"1650 Russell Street, Orangeburg, South Carolina 29115-6069",www.barbertechacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,65,65,50%,NA,2019-20,"$26,410",Barbering/Barber,488022,04243500
Barbers Trade School,"665 Orleans Street, Beaumont, Texas 77701-3308",https://www.barbersinctx.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,11,11,NA,NA,2019-20,"$15,167",Barbering/Barber,497383,04302900
Bay Area Medical Academy,"530 Bush Street #201, San Francisco, California 94108-3623",www.bamasf.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,211,211,30%,NA,2019-20,"$21,470",Medical/Clinical Assistant,483878,04223700
Bay Area Medical Academy - San Jose Satellite Location,"31 N 2nd Street, Suite 100, San Jose, California 95113",www.bamasf.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,,,NA,NA,2019-20,NA,Medical/Clinical Assistant,48387801,04223701
Bay State College,"31 St. James Avenue, Boston, Massachusetts 02116",https://www.baystate.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,City: Large,Yes,224,224,24%,24%,Fall 2016,"$43,020",-,164641,00396500
Bayamon Community College,"17 Maceo St, Bayamon, Puerto Rico 00961",www.bccpr.org/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,190,190,81%,10%,2019-20,"$8,549",-,444194,03758300
Bayshire Academy of Beauty Craft Inc,"917 Saginaw St, Bay City, Michigan 48708-5614",www.bayshirebeautyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,116,116,79%,NA,2019-20,"$5,094","Cosmetology/Cosmetologist, General",168892,02285700
Beal University,"99 Farm Road, Bangor, Maine 04401",www.beal.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,City: Small,No,400,399,42%,NA,Fall 2016,"$25,132",Registered Nursing/Registered Nurse,160995,00520400
Beal University,"75 Allen Street, Wilton, Maine 04294-6831",https://www.beal.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Master's degree,Rural: Distant,No,,,NA,NA,Fall 2016,NA,Registered Nursing/Registered Nurse,16099501,00520401
Beau Monde Academy of Barbering and Cosmetology,"2201 Lloyd Center Suite C304, Portland, Oregon 97232-1315",www.beaumondeacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,84,84,71%,NA,2019-20,"$23,732","Cosmetology/Cosmetologist, General",485166,02154400
Beauty Academy of South Florida,"9800 NW 77 Avenue, Hialeah Gardens, Florida 33016-2421",www.basf.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,285,285,81%,NA,2019-20,"$30,782","Cosmetology/Cosmetologist, General",460969,04170300
Beaver Falls Beauty Academy,"720 13th St, Beaver Falls, Pennsylvania 15010-4208",bfbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,24,24,92%,NA,2019-20,"$18,685","Cosmetology/Cosmetologist, General",215336,01191900
Beckfield College-Florence,"16 Spiral Drive, Florence, Kentucky 41042",www.beckfield.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,653,653,42%,NA,Fall 2016,"$25,602",-,247065,02491100
Bell Mar Beauty College,"5717 W. Cermak Road, Cicero, Illinois 60804",www.bellmar.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,48,48,53%,NA,2019-20,"$12,087","Cosmetology/Cosmetologist, General",364760,02536700
Bella Capelli Academy,"151 Wyngate Drive, Monroeville, Pennsylvania 15146-2388",paulmitchell.edu/monroeville,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,191,191,79%,NA,2019-20,"$15,676","Cosmetology/Cosmetologist, General",461193,04151700
Bella Cosmetology and Barber College,"5015A Wesley, Greenville, Texas 75402",bellacollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,58,58,36%,14%,2019-20,"$23,921","Cosmetology/Cosmetologist, General",483559,04235900
Bellasa Professional Institute,"744 NE 125th Street, North Miami, Florida 33161-0000",www.bellasa.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,51,51,NA,NA,2019-20,NA,Nail Technician/Specialist and Manicurist,493567,04273600
Belle Academy of Cosmetology LLC,"27A South Commons Road, Waterbury, Connecticut 06704-1035",www.belleacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,12,12,100%,NA,2019-20,"$8,160","Cosmetology/Cosmetologist, General",481571,04224200
